person, block, runNumber, visualise, trialNumber, targetPresent, responseTime, response 
2, coloured, 1, yes, 1, 1, NaN, NaN 
2, coloured, 1, yes, 2, 1, NaN, NaN 
2, coloured, 1, yes, 3, 1, 1.107488, 1 
2, coloured, 1, yes, 4, 1, 0.585986, 1 
2, coloured, 1, yes, 5, 0, 0.694278, -1 
2, coloured, 2, yes, 1, 1, NaN, NaN 
2, coloured, 2, yes, 2, 0, NaN, NaN 
2, coloured, 2, yes, 3, 0, 0.960745, -1 
2, coloured, 3, no, 1, 0, 1.250807, 1 
2, coloured, 3, no, 2, 1, 0.495639, 1 
2, coloured, 3, no, 3, 1, 0.656001, 1 
2, coloured, 4, yes, 1, 0, NaN, NaN 
2, coloured, 4, yes, 2, 0, NaN, NaN 
2, coloured, 4, yes, 3, 0, 0.592186, -1 
2, coloured, 4, yes, 4, 0, 0.554277, -1 
2, coloured, 5, no, 1, 1, 0.725689, 1 
2, coloured, 5, no, 2, 0, 0.425863, -1 
2, coloured, 5, no, 3, 0, 0.471317, 1 
2, coloured, 6, yes, 1, 1, NaN, NaN 
2, coloured, 6, yes, 2, 0, NaN, NaN 
2, coloured, 6, yes, 3, 0, 0.467028, -1 
2, coloured, 6, yes, 4, 0, 0.727517, 1 
2, coloured, 6, yes, 5, 0, 0.986674, -1 
2, coloured, 7, no, 1, 0, 0.969405, -1 
2, coloured, 7, no, 2, 0, 0.859678, -1 
2, coloured, 7, no, 3, 0, 0.468970, -1 
2, coloured, 7, no, 4, 1, 0.775820, 1 
2, coloured, 7, no, 5, 0, 1.178295, -1 
2, coloured, 8, yes, 1, 0, NaN, NaN 
2, coloured, 8, yes, 2, 0, NaN, NaN 
2, coloured, 8, yes, 3, 0, 0.701711, -1 
2, coloured, 8, yes, 4, 1, 0.442835, 1 
2, coloured, 8, yes, 5, 0, 0.659443, -1 
2, coloured, 9, no, 1, 0, 0.649042, -1 
2, coloured, 9, no, 2, 1, 0.409619, 1 
2, coloured, 9, no, 3, 1, 0.568672, 1 
2, coloured, 9, no, 4, 0, 0.791449, -1 
2, coloured, 10, yes, 1, 1, NaN, NaN 
2, coloured, 10, yes, 2, 1, NaN, NaN 
2, coloured, 10, yes, 3, 1, 0.746277, 1 
2, coloured, 10, yes, 4, 1, 0.670859, 1 
2, coloured, 11, yes, 1, 1, NaN, NaN 
2, coloured, 11, yes, 2, 1, NaN, NaN 
2, coloured, 11, yes, 3, 1, 0.445353, 1 
2, coloured, 11, yes, 4, 0, 0.507027, -1 
2, coloured, 11, yes, 5, 1, 0.487205, 1 
2, coloured, 12, no, 1, 0, 1.111913, -1 
2, coloured, 12, no, 2, 0, 0.647715, 1 
2, coloured, 12, no, 3, 0, 0.796936, -1 
2, coloured, 13, no, 1, 0, 0.564784, -1 
2, coloured, 13, no, 2, 0, 0.690459, -1 
2, coloured, 13, no, 3, 1, 0.729211, 1 
2, coloured, 13, no, 4, 0, 0.504316, -1 
2, coloured, 13, no, 5, 1, 0.619148, 1 
2, coloured, 14, no, 1, 1, 0.395898, 1 
2, coloured, 14, no, 2, 1, 0.655838, 1 
2, coloured, 14, no, 3, 0, 0.489399, -1 
2, coloured, 14, no, 4, 0, 0.645634, -1 
2, coloured, 14, no, 5, 0, 0.511204, -1 
2, coloured, 15, no, 1, 0, 0.756914, -1 
2, coloured, 15, no, 2, 0, 0.544731, -1 
2, coloured, 15, no, 3, 0, 0.632378, -1 
2, coloured, 15, no, 4, 0, 0.810801, -1 
2, coloured, 16, no, 1, 0, 0.664187, -1 
2, coloured, 16, no, 2, 1, 0.479310, 1 
2, coloured, 16, no, 3, 0, 0.501621, -1 
2, coloured, 17, yes, 1, 0, NaN, NaN 
2, coloured, 17, yes, 2, 1, NaN, NaN 
2, coloured, 17, yes, 3, 0, 0.620060, -1 
2, coloured, 17, yes, 4, 0, 0.588032, -1 
2, coloured, 18, no, 1, 0, 1.186923, -1 
2, coloured, 18, no, 2, 0, 0.563338, -1 
2, coloured, 18, no, 3, 0, 0.928217, -1 
2, coloured, 19, no, 1, 1, 0.724114, 1 
2, coloured, 19, no, 2, 1, 0.538545, 1 
2, coloured, 19, no, 3, 0, 0.420840, -1 
2, coloured, 19, no, 4, 1, 0.479779, 1 
2, coloured, 20, no, 1, 1, 0.608944, 1 
2, coloured, 20, no, 2, 1, 0.643397, 1 
2, coloured, 20, no, 3, 1, 0.538275, 1 
2, coloured, 20, no, 4, 0, 0.574855, -1 
2, coloured, 21, no, 1, 0, 0.654325, -1 
2, coloured, 21, no, 2, 0, 0.549051, -1 
2, coloured, 21, no, 3, 0, 0.537168, -1 
2, coloured, 22, yes, 1, 0, NaN, NaN 
2, coloured, 22, yes, 2, 0, NaN, NaN 
2, coloured, 22, yes, 3, 0, 0.716283, -1 
2, coloured, 23, yes, 1, 1, NaN, NaN 
2, coloured, 23, yes, 2, 0, NaN, NaN 
2, coloured, 23, yes, 3, 0, 0.502622, -1 
2, coloured, 23, yes, 4, 1, 0.630711, 1 
2, coloured, 23, yes, 5, 1, 0.446105, 1 
2, coloured, 24, yes, 1, 1, NaN, NaN 
2, coloured, 24, yes, 2, 1, NaN, NaN 
2, coloured, 24, yes, 3, 1, 0.844435, 1 
2, coloured, 24, yes, 4, 1, 0.415138, 1 
2, coloured, 25, yes, 1, 1, NaN, NaN 
2, coloured, 25, yes, 2, 0, NaN, NaN 
2, coloured, 25, yes, 3, 0, 0.562739, -1 
2, coloured, 25, yes, 4, 0, 0.785628, -1 
2, coloured, 26, no, 1, 1, 0.955873, 1 
2, coloured, 26, no, 2, 1, 0.748850, 1 
2, coloured, 26, no, 3, 1, 0.365356, 1 
2, coloured, 26, no, 4, 0, 0.478398, -1 
2, coloured, 26, no, 5, 1, 0.422994, 1 
2, coloured, 27, no, 1, 1, 0.441141, 1 
2, coloured, 27, no, 2, 0, 0.341330, -1 
2, coloured, 27, no, 3, 1, 0.374765, 1 
2, coloured, 27, no, 4, 1, 0.469820, 1 
2, coloured, 27, no, 5, 0, 0.366416, -1 
2, coloured, 28, yes, 1, 0, NaN, NaN 
2, coloured, 28, yes, 2, 0, NaN, NaN 
2, coloured, 28, yes, 3, 1, 0.531380, -1 
2, coloured, 28, yes, 4, 0, 0.458077, -1 
2, coloured, 28, yes, 5, 1, 0.520908, 1 
2, coloured, 29, yes, 1, 1, NaN, NaN 
2, coloured, 29, yes, 2, 1, NaN, NaN 
2, coloured, 29, yes, 3, 1, 0.443128, 1 
2, coloured, 29, yes, 4, 1, 0.329182, 1 
2, coloured, 29, yes, 5, 0, 0.541584, -1 
2, coloured, 30, yes, 1, 1, NaN, NaN 
2, coloured, 30, yes, 2, 1, NaN, NaN 
2, coloured, 30, yes, 3, 1, 0.702051, 1 
2, coloured, 30, yes, 4, 1, 0.393549, 1 
2, coloured, 30, yes, 5, 0, 0.288771, -1 
2, coloured, 1, yes, 1, 0, NaN, NaN 
2, coloured, 1, yes, 2, 1, NaN, NaN 
2, coloured, 1, yes, 3, 1, 0.620193, 1 
2, coloured, 2, yes, 1, 0, NaN, NaN 
2, coloured, 2, yes, 2, 0, NaN, NaN 
2, coloured, 2, yes, 3, 1, 0.505590, 1 
2, coloured, 2, yes, 4, 0, 0.759258, -1 
2, coloured, 2, yes, 5, 1, 0.645384, 1 
2, coloured, 3, no, 1, 0, 0.559777, -1 
2, coloured, 3, no, 2, 1, 0.492519, 1 
2, coloured, 3, no, 3, 0, 0.502610, -1 
2, coloured, 4, yes, 1, 0, NaN, NaN 
2, coloured, 4, yes, 2, 1, NaN, NaN 
2, coloured, 4, yes, 3, 1, 0.682864, 1 
2, coloured, 4, yes, 4, 0, 0.556725, -1 
2, coloured, 4, yes, 5, 0, 0.642981, -1 
2, coloured, 5, no, 1, 0, 0.809936, -1 
2, coloured, 5, no, 2, 0, 0.666803, -1 
2, coloured, 5, no, 3, 1, 0.414481, 1 
2, coloured, 5, no, 4, 0, 0.393198, -1 
2, coloured, 6, yes, 1, 1, NaN, NaN 
2, coloured, 6, yes, 2, 1, NaN, NaN 
2, coloured, 6, yes, 3, 1, 0.431018, 1 
2, coloured, 6, yes, 4, 1, 0.380391, 1 
2, coloured, 6, yes, 5, 1, 0.502368, 1 
2, coloured, 7, no, 1, 1, 0.562467, 1 
2, coloured, 7, no, 2, 0, 0.407150, -1 
2, coloured, 7, no, 3, 1, 0.463746, -1 
2, coloured, 8, yes, 1, 0, NaN, NaN 
2, coloured, 8, yes, 2, 1, NaN, NaN 
2, coloured, 8, yes, 3, 1, 0.618068, 1 
2, coloured, 8, yes, 4, 0, 0.524622, -1 
2, coloured, 9, no, 1, 0, 0.795473, -1 
2, coloured, 9, no, 2, 1, 0.302129, 1 
2, coloured, 9, no, 3, 1, 0.315717, 1 
2, coloured, 9, no, 4, 1, 0.210193, 1 
2, coloured, 9, no, 5, 0, 0.265966, -1 
2, coloured, 10, yes, 1, 1, NaN, NaN 
2, coloured, 10, yes, 2, 0, NaN, NaN 
2, coloured, 10, yes, 3, 1, 0.736218, 1 
2, coloured, 11, yes, 1, 1, NaN, NaN 
2, coloured, 11, yes, 2, 1, NaN, NaN 
